ts_code,name,industry
000659.SZ,珠海中富,广告包装
000661.SZ,长春高新,生物制药
000663.SZ,永安林业,林业
000665.SZ,湖北广电,影视音像
000668.SZ,*ST荣控,房产服务
000669.SZ,ST金鸿,供气供热
000670.SZ,盈方微,元器件
000672.SZ,上峰水泥,水泥
000676.SZ,智度股份,互联网
000677.SZ,恒天海龙,化纤
000678.SZ,襄阳轴承,汽车配件
000679.SZ,大连友谊,百货
000680.SZ,山推股份,工程机械
000681.SZ,视觉中国,互联网
000682.SZ,东方电子,电气设备
000683.SZ,远兴能源,化工原料
000685.SZ,中山公用,水务
000686.SZ,东北证券,证券
000688.SZ,国城矿业,铅锌
000690.SZ,宝新能源,火力发电
000691.SZ,*ST亚太,化工原料
000692.SZ,惠天热电,供气供热
000695.SZ,滨海能源,广告包装
000697.SZ,ST炼石,航空
000698.SZ,沈阳化工,石油加工
000700.SZ,模塑科技,汽车配件
000701.SZ,厦门信达,商贸代理
000702.SZ,正虹科技,饲料
000703.SZ,恒逸石化,化纤
000705.SZ,浙江震元,医药商业
000707.SZ,双环科技,化工原料
000708.SZ,中信特钢,特种钢
000709.SZ,河钢股份,普钢
000710.SZ,贝瑞基因,医疗保健
000711.SZ,*ST京蓝,环境保护
000712.SZ,锦龙股份,证券
000713.SZ,丰乐种业,种植业
000715.SZ,中兴商业,百货
000716.SZ,黑芝麻,食品
000717.SZ,中南股份,普钢
000718.SZ,苏宁环球,区域地产
000719.SZ,中原传媒,出版业
000720.SZ,新能泰山,电气设备
000721.SZ,西安饮食,酒店餐饮
000722.SZ,湖南发展,水力发电
000723.SZ,美锦能源,焦炭加工
000725.SZ,京东方A,元器件
000726.SZ,鲁泰A,纺织
000727.SZ,冠捷科技,元器件
000728.SZ,国元证券,证券
000729.SZ,燕京啤酒,啤酒
000731.SZ,四川美丰,农药化肥
000733.SZ,振华科技,元器件
000735.SZ,罗牛山,农业综合
000736.SZ,*ST中地,全国地产
000737.SZ,北方铜业,铜
000738.SZ,航发控制,航空
000739.SZ,普洛药业,化学制药
000750.SZ,国海证券,证券
000751.SZ,锌业股份,铅锌
000752.SZ,ST西发,啤酒
000753.SZ,漳州发展,综合类
000755.SZ,山西高速,路桥
000756.SZ,新华制药,化学制药
000757.SZ,浩物股份,汽车服务
000758.SZ,中色股份,铅锌
000759.SZ,中百集团,超市连锁
000761.SZ,本钢板材,普钢
000762.SZ,西藏矿业,小金属
000766.SZ,通化金马,化学制药
000767.SZ,晋控电力,火力发电
000768.SZ,中航西飞,航空
000776.SZ,广发证券,证券
000777.SZ,中核科技,机械基件
000778.SZ,新兴铸管,钢加工
000779.SZ,甘咨询,建筑工程
000782.SZ,恒申新材,化纤
000783.SZ,长江证券,证券
000785.SZ,居然智家,百货
000786.SZ,北新建材,其他建材
000788.SZ,北大医药,化学制药
000789.SZ,万年青,水泥
000790.SZ,华神科技,中成药
000791.SZ,甘肃能源,水力发电
000792.SZ,盐湖股份,农药化肥
000793.SZ,ST华闻,出版业
000795.SZ,英洛华,矿物制品
000796.SZ,凯撒旅业,旅游服务
000797.SZ,中国武夷,全国地产
000798.SZ,中水渔业,渔业
000799.SZ,酒鬼酒,白酒
000800.SZ,一汽解放,汽车整车
000801.SZ,四川九洲,家用电器
000802.SZ,北京文化,影视音像
000803.SZ,山高环能,环境保护
000807.SZ,云铝股份,铝
000809.SZ,和展能源,区域地产
000810.SZ,创维数字,家用电器
000811.SZ,冰轮环境,工程机械
000812.SZ,陕西金叶,广告包装
000813.SZ,德展健康,化学制药
000815.SZ,美利云,造纸
000816.SZ,智慧农业,农用机械
000818.SZ,航锦科技,化工原料
000819.SZ,岳阳兴长,石油加工
000820.SZ,*ST节能,综合类
000821.SZ,京山轻机,电气设备
000822.SZ,山东海化,化工原料
000823.SZ,超声电子,元器件
000825.SZ,太钢不锈,特种钢
000826.SZ,启迪环境,环境保护
000828.SZ,东莞控股,路桥
000829.SZ,天音控股,其他商业
000830.SZ,鲁西化工,化工原料
000831.SZ,中国稀土,小金属
000833.SZ,粤桂股份,综合类
000837.SZ,秦川机床,机床制造
000838.SZ,财信发展,区域地产
000839.SZ,中信国安,综合类
000848.SZ,承德露露,软饮料
000850.SZ,华茂股份,纺织
000851.SZ,*ST高鸿,通信设备
000852.SZ,石化机械,化工机械
000856.SZ,冀东装备,专用机械
000858.SZ,五粮液,白酒
000859.SZ,国风新材,塑料
000860.SZ,顺鑫农业,白酒
000862.SZ,银星能源,新型电力
000863.SZ,三湘印象,区域地产
000868.SZ,安凯客车,汽车整车
000869.SZ,张裕A,红黄酒
000875.SZ,吉电股份,火力发电
000876.SZ,新希望,饲料
000877.SZ,天山股份,水泥
000878.SZ,云南铜业,铜
000880.SZ,潍柴重机,专用机械
000881.SZ,中广核技,化工原料
000882.SZ,华联股份,其他商业
000883.SZ,湖北能源,水力发电
000885.SZ,城发环境,环境保护
000886.SZ,海南高速,区域地产
000887.SZ,中鼎股份,汽车配件
000888.SZ,峨眉山A,旅游景点
000889.SZ,ST中嘉,通信设备
000890.SZ,法尔胜,环境保护
000892.SZ,欢瑞世纪,影视音像
000893.SZ,亚钾国际,农药化肥
000895.SZ,双汇发展,食品
000897.SZ,津滨发展,区域地产
000898.SZ,鞍钢股份,普钢
000899.SZ,赣能股份,火力发电
000900.SZ,现代投资,路桥
000901.SZ,航天科技,汽车配件
000902.SZ,新洋丰,农药化肥
000903.SZ,云内动力,汽车配件
000905.SZ,厦门港务,港口
000906.SZ,浙商中拓,仓储物流
000908.SZ,*ST景峰,化学制药
000909.SZ,ST数源,区域地产
000910.SZ,大亚圣象,家居用品
000911.SZ,广农糖业,食品
000912.SZ,泸天化,农药化肥
000913.SZ,钱江摩托,摩托车
000915.SZ,华特达因,化学制药
000917.SZ,电广传媒,广告包装
000919.SZ,金陵药业,化学制药
000920.SZ,沃顿科技,塑料
000921.SZ,海信家电,家用电器
000922.SZ,佳电股份,电气设备
000923.SZ,河钢资源,普钢
000925.SZ,众合科技,运输设备
000926.SZ,福星股份,区域地产
000927.SZ,中国铁物,仓储物流
000928.SZ,中钢国际,建筑工程
000929.SZ,*ST兰黄,啤酒
000930.SZ,中粮科技,农业综合
000931.SZ,中关村,化学制药
000932.SZ,华菱钢铁,普钢
000933.SZ,神火股份,铝
000935.SZ,四川双马,水泥
000936.SZ,华西股份,化纤
000937.SZ,冀中能源,煤炭开采
000938.SZ,紫光股份,IT设备
000948.SZ,南天信息,软件服务
000949.SZ,新乡化纤,化纤
000950.SZ,重药控股,医药商业
000951.SZ,中国重汽,汽车整车
000952.SZ,广济药业,化学制药
000953.SZ,河化股份,化学制药
000955.SZ,欣龙控股,纺织
000957.SZ,中通客车,汽车整车
000958.SZ,电投产融,多元金融
000959.SZ,首钢股份,普钢
000960.SZ,锡业股份,小金属
000962.SZ,东方钽业,小金属
000963.SZ,华东医药,化学制药
000965.SZ,天保基建,区域地产
000966.SZ,长源电力,火力发电
000967.SZ,盈峰环境,环境保护
000968.SZ,蓝焰控股,石油开采
000969.SZ,安泰科技,小金属
000970.SZ,中科三环,矿物制品
000972.SZ,*ST中基,食品
000973.SZ,佛塑科技,塑料
000975.SZ,山金国际,黄金
000977.SZ,浪潮信息,IT设备
000978.SZ,桂林旅游,旅游景点
000980.SZ,众泰汽车,汽车配件
000981.SZ,山子高科,汽车配件
000983.SZ,山西焦煤,煤炭开采
000985.SZ,大庆华科,化工原料
000987.SZ,越秀资本,多元金融
000988.SZ,华工科技,专用机械
000989.SZ,九芝堂,中成药
000990.SZ,诚志股份,化工原料
000993.SZ,闽东电力,水力发电
000995.SZ,皇台酒业,白酒
000997.SZ,新大陆,IT设备
000998.SZ,隆平高科,种植业
000999.SZ,华润三九,中成药
001201.SZ,东瑞股份,农业综合
001202.SZ,炬申股份,仓储物流
001203.SZ,大中矿业,普钢
001205.SZ,盛航股份,水运
001206.SZ,依依股份,造纸
001207.SZ,联科科技,化工原料
001208.SZ,华菱线缆,电气设备
001209.SZ,洪兴股份,服饰
001210.SZ,金房能源,供气供热
001211.SZ,双枪科技,家居用品
001212.SZ,中旗新材,其他建材
001213.SZ,中铁特货,铁路
001215.SZ,千味央厨,食品
001216.SZ,华瓷股份,家居用品
001217.SZ,华尔泰,化工原料
001218.SZ,丽臣实业,化工原料
001219.SZ,青岛食品,食品
001222.SZ,源飞宠物,文教休闲
001223.SZ,欧克科技,专用机械
001225.SZ,和泰机电,专用机械
001226.SZ,拓山重工,工程机械
001227.SZ,兰州银行,银行
001228.SZ,永泰运,仓储物流
001229.SZ,魅视科技,IT设备
001230.SZ,劲旅环境,环境保护
001231.SZ,农心科技,农药化肥
001234.SZ,泰慕士,服饰
001236.SZ,弘业期货,多元金融
001238.SZ,浙江正特,家居用品
001239.SZ,永达股份,工程机械
001255.SZ,博菲电气,新型电力
001256.SZ,炜冈科技,轻工机械
001258.SZ,立新能源,新型电力
001259.SZ,利仁科技,家用电器
001260.SZ,坤泰股份,汽车配件
001266.SZ,宏英智能,电器仪表
001267.SZ,汇绿生态,建筑工程
001268.SZ,联合精密,机械基件
001269.SZ,欧晶科技,矿物制品
001270.SZ,*ST铖昌,半导体
001277.SZ,速达股份,专用机械
001278.SZ,一彬科技,汽车配件
001279.SZ,强邦新材,广告包装
001282.SZ,三联锻造,汽车配件
001283.SZ,豪鹏科技,电气设备
001286.SZ,陕西能源,火力发电
001287.SZ,中电港,元器件
001288.SZ,运机集团,专用机械
001289.SZ,龙源电力,新型电力
001296.SZ,长江材料,其他建材
001298.SZ,好上好,元器件
001299.SZ,美能能源,供气供热
001300.SZ,三柏硕,文教休闲
001301.SZ,尚太科技,电气设备
001306.SZ,夏厦精密,机械基件
001308.SZ,康冠科技,元器件
001309.SZ,德明利,半导体
001311.SZ,多利科技,汽车配件
001313.SZ,粤海饲料,饲料
001314.SZ,亿道信息,元器件
001316.SZ,润贝航科,批发业
001317.SZ,三羊马,铁路
001318.SZ,阳光乳业,乳制品
001319.SZ,铭科精技,汽车配件
001322.SZ,箭牌家居,家居用品
001323.SZ,慕思股份,家居用品
001324.SZ,长青科技,运输设备
001326.SZ,联域股份,电气设备
001328.SZ,登康口腔,日用化工
001330.SZ,博纳影业,影视音像
001331.SZ,胜通能源,公路
001332.SZ,锡装股份,专用机械
001333.SZ,光华股份,化工原料
001335.SZ,信凯科技,化工原料
001336.SZ,楚环科技,专用机械
001337.SZ,四川黄金,黄金
001338.SZ,永顺泰,啤酒
001339.SZ,智微智能,IT设备
001356.SZ,富岭股份,塑料
001358.SZ,兴欣新材,化工原料
001359.SZ,平安电工,矿物制品
001360.SZ,南矿集团,工程机械
001366.SZ,播恩集团,饲料
001367.SZ,海森药业,化学制药
001368.SZ,通达创智,文教休闲
001373.SZ,翔腾新材,元器件
001376.SZ,百通能源,供气供热
001378.SZ,德冠新材,塑料
001379.SZ,腾达科技,机械基件
001380.SZ,华纬科技,汽车配件
001382.SZ,新亚电缆,电气设备
001387.SZ,雪祺电气,家用电器
001389.SZ,广合科技,元器件
001391.SZ,国货航,仓储物流
001395.SZ,亚联机械,专用机械
001400.SZ,江顺科技,专用机械
001696.SZ,宗申动力,摩托车
001872.SZ,招商港口,港口
001896.SZ,豫能控股,火力发电
001914.SZ,招商积余,房产服务
001965.SZ,招商公路,路桥
001979.SZ,招商蛇口,全国地产
002001.SZ,新和成,化学制药
002003.SZ,伟星股份,服饰
002004.SZ,华邦健康,农药化肥
002005.SZ,ST德豪,家用电器
002006.SZ,精工科技,专用机械
002007.SZ,华兰生物,生物制药
002008.SZ,大族激光,专用机械
002009.SZ,天奇股份,工程机械
002010.SZ,传化智联,仓储物流
002011.SZ,盾安环境,家用电器
002012.SZ,凯恩股份,造纸
002014.SZ,永新股份,塑料
002015.SZ,协鑫能科,新型电力
002016.SZ,世荣兆业,区域地产
002017.SZ,东信和平,通信设备
002019.SZ,亿帆医药,化学制药
002020.SZ,京新药业,化学制药
002021.SZ,中捷资源,纺织机械
002022.SZ,科华生物,医疗保健
002023.SZ,海特高新,航空
002024.SZ,ST易购,电器连锁
002025.SZ,航天电器,元器件
002026.SZ,山东威达,机械基件
002027.SZ,分众传媒,广告包装
002028.SZ,思源电气,电气设备
002029.SZ,七匹狼,服饰
002030.SZ,达安基因,医疗保健
002031.SZ,巨轮智能,汽车配件
002032.SZ,苏泊尔,家用电器
002033.SZ,丽江股份,旅游景点
002034.SZ,旺能环境,环境保护
002035.SZ,华帝股份,家用电器
002036.SZ,联创电子,元器件
002037.SZ,保利联合,化工原料
002038.SZ,双鹭药业,生物制药
002039.SZ,黔源电力,水力发电
002040.SZ,南京港,港口
002041.SZ,登海种业,种植业
002042.SZ,华孚时尚,纺织
002043.SZ,兔宝宝,其他建材
002044.SZ,美年健康,医疗保健
002045.SZ,国光电器,元器件
002046.SZ,国机精工,机械基件
002047.SZ,*ST宝鹰,装修装饰
002048.SZ,宁波华翔,汽车配件
002049.SZ,紫光国微,半导体
002050.SZ,三花智控,家用电器
002051.SZ,中工国际,建筑工程
002052.SZ,*ST同洲,家用电器
002053.SZ,云南能投,食品
002054.SZ,德美化工,染料涂料
002055.SZ,得润电子,元器件
002056.SZ,横店东磁,电气设备
002057.SZ,中钢天源,矿物制品
002058.SZ,*ST威尔,电器仪表
002059.SZ,云南旅游,旅游景点
002060.SZ,广东建工,建筑工程
002061.SZ,浙江交科,建筑工程
002062.SZ,宏润建设,建筑工程
002063.SZ,远光软件,软件服务
002064.SZ,华峰化学,化纤
002065.SZ,东华软件,软件服务
002066.SZ,瑞泰科技,其他建材
002067.SZ,景兴纸业,造纸
002068.SZ,黑猫股份,化工原料
002069.SZ,獐子岛,渔业
002072.SZ,凯瑞德,商贸代理
002073.SZ,软控股份,专用机械
002074.SZ,国轩高科,电气设备
002075.SZ,沙钢股份,特种钢
002076.SZ,*ST星光,家用电器
002077.SZ,大港股份,半导体
002078.SZ,太阳纸业,造纸
002079.SZ,苏州固锝,电气设备
002080.SZ,中材科技,玻璃
002081.SZ,金螳螂,装修装饰
002082.SZ,万邦德,中成药
002083.SZ,孚日股份,纺织
002084.SZ,海鸥住工,家居用品
002085.SZ,万丰奥威,汽车配件
002086.SZ,东方海洋,医疗保健
002088.SZ,鲁阳节能,矿物制品
002090.SZ,金智科技,电气设备
002091.SZ,江苏国泰,商贸代理
002092.SZ,ST中泰,化工原料
002093.SZ,国脉科技,文教休闲
002094.SZ,青岛金王,日用化工
002095.SZ,生意宝,互联网
002096.SZ,易普力,化工原料
002097.SZ,山河智能,工程机械
002098.SZ,浔兴股份,服饰
002099.SZ,海翔药业,化学制药
002100.SZ,天康生物,饲料
002101.SZ,广东鸿图,汽车配件
002102.SZ,能特科技,化学制药
002103.SZ,广博股份,文教休闲
002104.SZ,恒宝股份,通信设备
002105.SZ,信隆健康,摩托车
002106.SZ,莱宝高科,元器件
002107.SZ,沃华医药,中成药
002108.SZ,沧州明珠,塑料
002109.SZ,兴化股份,化工原料
002110.SZ,三钢闽光,普钢
002111.SZ,威海广泰,航空
002112.SZ,三变科技,电气设备
002114.SZ,罗平锌电,铅锌
002115.SZ,三维通信,互联网
002116.SZ,中国海诚,建筑工程
002117.SZ,东港股份,广告包装
002119.SZ,康强电子,半导体
002120.SZ,韵达股份,仓储物流
002121.SZ,科陆电子,电器仪表
002122.SZ,汇洲智能,机床制造
002123.SZ,梦网科技,互联网
002124.SZ,天邦食品,农业综合
002125.SZ,湘潭电化,化工原料
002126.SZ,银轮股份,汽车配件
002127.SZ,南极电商,互联网
002128.SZ,电投能源,铝
002129.SZ,TCL中环,电气设备
002130.SZ,沃尔核材,电气设备
002131.SZ,利欧股份,互联网
002132.SZ,恒星科技,钢加工
002133.SZ,广宇集团,全国地产
002134.SZ,天津普林,元器件
002135.SZ,东南网架,钢加工
002136.SZ,安纳达,化工原料
002137.SZ,实益达,元器件
002138.SZ,顺络电子,元器件
002139.SZ,拓邦股份,元器件
002140.SZ,东华科技,建筑工程
002141.SZ,*ST贤丰,农业综合
002142.SZ,宁波银行,银行
002144.SZ,宏达高科,纺织
002145.SZ,中核钛白,化工原料
002146.SZ,荣盛发展,全国地产
002148.SZ,北纬科技,互联网
002149.SZ,西部材料,小金属
002150.SZ,通润装备,机械基件
002151.SZ,北斗星通,通信设备
002152.SZ,广电运通,IT设备
002153.SZ,石基信息,软件服务
002154.SZ,报喜鸟,服饰
002155.SZ,湖南黄金,黄金
002156.SZ,通富微电,半导体
002157.SZ,正邦科技,农业综合
002158.SZ,汉钟精机,工程机械
002159.SZ,三特索道,旅游服务
002160.SZ,常铝股份,铝
002161.SZ,远望谷,通信设备
002162.SZ,悦心健康,陶瓷
002163.SZ,海南发展,装修装饰
002164.SZ,宁波东力,机械基件
002165.SZ,红宝丽,化工原料
002166.SZ,莱茵生物,中成药
002167.SZ,东方锆业,小金属
002168.SZ,*ST惠程,电气设备
002169.SZ,智光电气,电气设备
002170.SZ,芭田股份,农药化肥
002171.SZ,楚江新材,铜
002172.SZ,澳洋健康,医疗保健
002173.SZ,创新医疗,医疗保健
002174.SZ,游族网络,互联网
002175.SZ,东方智造,电器仪表
002176.SZ,江特电机,小金属
002177.SZ,御银股份,其他商业
002178.SZ,延华智能,软件服务
002179.SZ,中航光电,元器件
002180.SZ,纳思达,IT设备
002181.SZ,粤传媒,出版业
002182.SZ,宝武镁业,小金属
002183.SZ,怡亚通,仓储物流
002184.SZ,海得控制,机械基件
002185.SZ,华天科技,半导体
002186.SZ,全聚德,酒店餐饮
002187.SZ,广百股份,百货
002188.SZ,中天服务,房产服务
002189.SZ,中光学,元器件
002190.SZ,成飞集成,汽车配件
002191.SZ,劲嘉股份,广告包装
002192.SZ,融捷股份,小金属
002193.SZ,如意集团,纺织
002194.SZ,武汉凡谷,通信设备
002195.SZ,岩山科技,软件服务
002196.SZ,方正电机,纺织机械
002197.SZ,ST证通,IT设备
002198.SZ,嘉应制药,中成药
002199.SZ,*ST东晶,元器件
002200.SZ,*ST交投,建筑工程
002201.SZ,九鼎新材,玻璃
002202.SZ,金风科技,电气设备
002203.SZ,海亮股份,铜
002204.SZ,大连重工,专用机械
002205.SZ,国统股份,水泥
002206.SZ,海利得,化纤
002207.SZ,准油股份,石油开采
002208.SZ,合肥城建,区域地产
002209.SZ,达意隆,轻工机械
002210.SZ,飞马国际,环境保护
002211.SZ,ST宏达,橡胶
002212.SZ,天融信,软件服务
002213.SZ,大为股份,半导体
002214.SZ,*ST大立,电器仪表
002215.SZ,诺普信,农药化肥
002216.SZ,三全食品,食品
002217.SZ,*ST合泰,元器件
002218.SZ,拓日新能,新型电力
002219.SZ,新里程,医疗保健
002221.SZ,东华能源,石油加工
002222.SZ,福晶科技,元器件
002223.SZ,鱼跃医疗,医疗保健
002224.SZ,三力士,橡胶
002225.SZ,濮耐股份,其他建材
002226.SZ,江南化工,化工原料
002227.SZ,奥特迅,电气设备
002228.SZ,合兴包装,广告包装
002229.SZ,鸿博股份,广告包装
002230.SZ,科大讯飞,软件服务
002231.SZ,*ST奥维,通信设备
002232.SZ,启明信息,软件服务
002233.SZ,塔牌集团,水泥
002234.SZ,民和股份,农业综合
002235.SZ,安妮股份,造纸
002236.SZ,大华股份,IT设备
002237.SZ,恒邦股份,黄金
002238.SZ,天威视讯,影视音像
002239.SZ,奥特佳,汽车配件
002240.SZ,盛新锂能,小金属
002241.SZ,歌尔股份,元器件
002242.SZ,九阳股份,家用电器
002243.SZ,力合科创,广告包装
002244.SZ,滨江集团,区域地产
002245.SZ,蔚蓝锂芯,电气设备
002246.SZ,北化股份,化工原料
002247.SZ,聚力文化,其他建材
002248.SZ,华东数控,机床制造
002249.SZ,大洋电机,电气设备
002250.SZ,联化科技,化工原料
002251.SZ,步步高,超市连锁
002252.SZ,上海莱士,生物制药
002253.SZ,*ST智胜,软件服务
002254.SZ,泰和新材,化纤
002255.SZ,海陆重工,专用机械
002256.SZ,兆新股份,新型电力
002258.SZ,利尔化学,农药化肥
002259.SZ,ST升达,供气供热
002261.SZ,拓维信息,软件服务
002262.SZ,恩华药业,化学制药
002263.SZ,大东南,塑料
002264.SZ,新华都,互联网
002265.SZ,建设工业,专用机械
002266.SZ,浙富控股,环境保护
002267.SZ,陕天然气,供气供热
002268.SZ,电科网安,IT设备
002269.SZ,美邦服饰,服饰
002270.SZ,华明装备,电气设备
002271.SZ,东方雨虹,其他建材
002272.SZ,川润股份,机械基件
002273.SZ,水晶光电,元器件
002274.SZ,华昌化工,农药化肥
002275.SZ,桂林三金,中成药
002276.SZ,万马股份,电气设备
002277.SZ,友阿股份,百货
002278.SZ,神开股份,化工机械
002279.SZ,久其软件,软件服务
002281.SZ,光迅科技,通信设备
002282.SZ,博深股份,机械基件
002283.SZ,天润工业,汽车配件
002284.SZ,亚太股份,汽车配件
002285.SZ,世联行,房产服务
002286.SZ,保龄宝,食品
